"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","102","Delete product by ID","Portmann API","Tue Sep 16 09:30:36 UTC 2025","passed","Tue Sep 16 09:30:36 UTC 2025","","","",""
"","101","Create a new product","Portmann API","Tue Sep 16 09:30:35 UTC 2025","passed","Tue Sep 16 09:30:36 UTC 2025","","","",""
"","104","Delete user by ID","Portmann API","Tue Sep 16 09:30:35 UTC 2025","passed","Tue Sep 16 09:30:35 UTC 2025","","","",""
"","100","Update user by ID","Portmann API","Tue Sep 16 09:30:35 UTC 2025","passed","Tue Sep 16 09:30:35 UTC 2025","","","",""
"","92","Get list of users","Portmann API","Tue Sep 16 09:30:34 UTC 2025","passed","Tue Sep 16 09:30:35 UTC 2025","","","",""
"","180","Get single product by ID","Portmann API","Tue Sep 16 09:30:36 UTC 2025","passed","Tue Sep 16 09:30:36 UTC 2025","","","",""
"","98","Register a new user","Portmann API","Tue Sep 16 09:30:35 UTC 2025","passed","Tue Sep 16 09:30:35 UTC 2025","","","",""
"","104","Login user","Portmann API","Tue Sep 16 09:30:35 UTC 2025","passed","Tue Sep 16 09:30:35 UTC 2025","","","",""
"","297","Health check endpoint","Portmann API","Tue Sep 16 09:30:34 UTC 2025","passed","Tue Sep 16 09:30:34 UTC 2025","","","",""
"","98","Update product by ID","Portmann API","Tue Sep 16 09:30:36 UTC 2025","passed","Tue Sep 16 09:30:36 UTC 2025","","","",""
"","187","Get list of products","Portmann API","Tue Sep 16 09:30:35 UTC 2025","passed","Tue Sep 16 09:30:35 UTC 2025","","","",""
"","186","Get single user by ID","Portmann API","Tue Sep 16 09:30:35 UTC 2025","passed","Tue Sep 16 09:30:35 UTC 2025","","","",""
"","104","Create new user","Portmann API","Tue Sep 16 09:30:35 UTC 2025","passed","Tue Sep 16 09:30:35 UTC 2025","","","",""
